Transition,Baseline Probability,Inhibition Probability,In Inhibition
3 → 2,0.003607880370282459,0.00047194298928689415,Yes
2 → 3,0.0030382150486589128,0.0007079144839303412,Yes
17 → 19,0.0028008544979824354,0.0026900750389352965,Yes
38 → 25,0.00275338238784714,0.001934966256076266,Yes
7 → 14,0.002705910277711844,0.0012742460710746142,Yes
11 → 45,0.0025160218371706625,0.0015574118646467508,Yes
12 → 13,0.002468549727035367,0.00160460616357544,Yes
19 → 17,0.002468549727035367,0.0022181320496484024,Yes
45 → 17,0.002468549727035367,0.002359714946434471,Yes
14 → 7,0.0023736055067647755,0.0010382745764311672,Yes
55 → 50,0.0023736055067647755,0.0022181320496484024,Yes
3 → 6,0.0023261333966294803,0.00018877719571475766,Yes
34 → 37,0.0023261333966294803,0.002170937750719713,Yes
12 → 37,0.0023261333966294803,0.0017933833592901978,Yes
58 → 4,0.0023261333966294803,0.0014630232667893718,Yes
58 → 48,0.0023261333966294803,0.0016518004625041295,Yes
20 → 4,0.002231189176358889,0.001368634668931993,Yes
13 → 12,0.002231189176358889,0.0014630232667893718,Yes
20 → 7,0.002183717066223594,0.0017933833592901978,Yes
37 → 12,0.002183717066223594,0.00160460616357544,Yes
