Transition,Inhibition Probability,Baseline Probability,In Baseline
19 → 46,0.0033979895228656376,0.001471635414194161,Yes
38 → 48,0.002973240832507433,0.001471635414194161,Yes
64 → 43,0.0028788522346500545,0.0011393306432470923,Yes
38 → 46,0.0027844636367926755,0.0016140517446000474,Yes
48 → 20,0.0027844636367926755,0.0019938286256824117,Yes
17 → 19,0.0026900750389352965,0.0028008544979824354,Yes
48 → 58,0.002501297843220539,0.0018988844054118206,Yes
45 → 17,0.002359714946434471,0.002468549727035367,Yes
43 → 55,0.0023125206475057814,0.0018988844054118206,Yes
25 → 38,0.0022181320496484024,0.0020887728459530026,Yes
19 → 17,0.0022181320496484024,0.002468549727035367,Yes
55 → 50,0.0022181320496484024,0.0023736055067647755,Yes
57 → 42,0.0022181320496484024,0.0009494422027059103,Yes
38 → 20,0.0022181320496484024,0.001946356515547116,Yes
34 → 37,0.002170937750719713,0.0023261333966294803,Yes
46 → 19,0.002170937750719713,0.0018039401851412296,Yes
46 → 20,0.002170937750719713,0.0006646095418941372,Yes
51 → 47,0.002170937750719713,0.0014241633040588653,Yes
20 → 48,0.002123743451791024,0.0017089959648706385,Yes
40 → 64,0.002123743451791024,0.0008070258723000237,Yes
